query,sql,expected_should_continue,expected_validate_error,id,difficulty,category
每种设备状态下各有多少台设备？,"SELECT equipment_status, COUNT(*) AS equipment_count
FROM table_equipment
GROUP BY equipment_status
",,,easy_001,easy,dim_count
每个产品类别下有多少个产品？,"SELECT product_category, COUNT(*) AS product_count
FROM table_product
GROUP BY product_category
",,,easy_002,easy,dim_count
列出所有工厂名称,"SELECT DISTINCT factory_name
FROM table_workshop
",,,easy_003,easy,dim_list
所有生产记录的实际产量总和是多少？,"SELECT SUM(actual_quantity) AS actual_quantity
FROM table_production_record
",,,easy_004,easy,single_metric_total
总停机时长是多少分钟？,"SELECT SUM(downtime_minutes) AS downtime_minutes
FROM table_production_record
",,,easy_005,easy,single_metric_total
一共有多少不良品数量？,"SELECT SUM(defect_quantity) AS defect_quantity
FROM table_production_record
",,,easy_006,easy,single_metric_total
统计各工厂的实际产量,"SELECT w.factory_name, SUM(p.actual_quantity) AS actual_quantity
FROM table_production_record p
JOIN table_workshop w ON p.workshop_id = w.workshop_id
GROUP BY w.factory_name
",,,easy_007,easy,single_metric_groupby
统计各车间的实际产量,"SELECT w.workshop_name, SUM(p.actual_quantity) AS actual_quantity
FROM table_production_record p
JOIN table_workshop w ON p.workshop_id = w.workshop_id
GROUP BY w.workshop_name
",,,easy_008,easy,single_metric_groupby
各产品类别的实际产量分别是多少？,"SELECT pd.product_category, SUM(p.actual_quantity) AS actual_quantity
FROM table_production_record p
JOIN table_product pd ON p.product_id = pd.product_id
GROUP BY pd.product_category
",,,easy_009,easy,single_metric_groupby
统计各工厂的计划产量,"SELECT w.factory_name, SUM(p.planned_quantity) AS planned_quantity
FROM table_production_record p
JOIN table_workshop w ON p.workshop_id = w.workshop_id
GROUP BY w.factory_name
",,,easy_010,easy,single_metric_groupby
各工序的总停机时长是多少？,"SELECT pr.process_name, SUM(p.downtime_minutes) AS downtime_minutes
FROM table_production_record p
JOIN table_process pr ON p.process_id = pr.process_id
GROUP BY pr.process_name
",,,easy_011,easy,single_metric_groupby
统计各产品的实际产量,"SELECT pd.product_name, SUM(p.actual_quantity) AS actual_quantity
FROM table_production_record p
JOIN table_product pd ON p.product_id = pd.product_id
GROUP BY pd.product_name
",,,easy_012,easy,single_metric_groupby
各工厂的实际产量是多少？按产量从高到低排序,"SELECT w.factory_name, SUM(p.actual_quantity) AS actual_quantity
FROM table_production_record p
JOIN table_workshop w ON p.workshop_id = w.workshop_id
GROUP BY w.factory_name
ORDER BY actual_quantity DESC
",,,medium_001,medium,groupby_orderby
实际产量最高的前三个产品是哪些？,"SELECT pd.product_name, SUM(p.actual_quantity) AS actual_quantity
FROM table_production_record p
JOIN table_product pd ON p.product_id = pd.product_id
GROUP BY pd.product_name
ORDER BY actual_quantity DESC
LIMIT 3
",,,medium_002,medium,topn
各产品类别的产量达成率是多少？,"SELECT pd.product_category,
       SUM(p.actual_quantity) / SUM(p.planned_quantity) AS achievement_rate
FROM table_production_record p
JOIN table_product pd ON p.product_id = pd.product_id
GROUP BY pd.product_category
",,,medium_003,medium,ratio_metric
统计各工厂的合格率,"SELECT w.factory_name,
       SUM(p.qualified_quantity) / SUM(p.actual_quantity) AS qualified_rate
FROM table_production_record p
JOIN table_workshop w ON p.workshop_id = w.workshop_id
GROUP BY w.factory_name
",,,medium_004,medium,ratio_metric
各车间的不良率是多少？从高到低排列,"SELECT w.workshop_name,
       SUM(p.defect_quantity) / SUM(p.actual_quantity) AS defect_rate
FROM table_production_record p
JOIN table_workshop w ON p.workshop_id = w.workshop_id
GROUP BY w.workshop_name
ORDER BY defect_rate DESC
",,,medium_005,medium,ratio_metric_orderby
